Age,Gender,Branch,Average GPA,Backlogs,Attendance (%),Clubs,Skills,Internship Done,Internship Domain,Placement Status,Placement Domain,CTC (LPA),Alumni Path,Sem1 GPA,Sem2 GPA,Sem3 GPA,Sem4 GPA,Sem5 GPA,Sem6 GPA,Sem7 GPA,Sem8 GPA,Skill_Count,Club_Count
21.0,Female,ECE,6.72,0.0,84.32,"Entrepreneurship Cell, Sports Club","Machine Learning, C++, Data Science, Web Development, SQL",1,Software,0.0,Unknown,0.0,Unknown,7.89,7.13,5.97,6.8,5.01,8.3,6.18,6.47,5,2
20.0,Female,ECE,6.22,1.0,92.43,Sports Club,"Data Science, Machine Learning, Java",0,Unknown,1.0,Higher Studies,19.12,Startup,7.49,4.15,6.14,5.87,6.74,6.46,7.8,5.14,3,1
23.0,Male,EEE,6.52,0.0,62.63,"Robotics, Entrepreneurship Cell, Cultural Club","Data Science, C++, Python",1,Hardware,1.0,Software,18.08,Startup,6.69,6.03,6.17,9.18,6.82,5.64,5.23,6.38,3,3
19.0,Male,EEE,7.06,2.0,65.6,"Coding Club, Cultural Club","SQL, Java, Data Science, Machine Learning, Web Development",0,Unknown,1.0,Core Engineering,8.92,Job,7.62,5.89,6.81,7.8,7.59,5.84,7.37,7.56,5,2
21.0,Female,MECH,7.23,0.0,75.04,"Robotics, Sports Club, Literary Society","Python, Data Science",0,Unknown,1.0,Hardware,12.35,Research,5.99,6.93,7.83,6.97,9.36,7.42,7.23,6.09,2,3
22.0,Female,MECH,6.49,0.0,71.11,Cultural Club,"Web Development, Python, SQL, C++",1,Research,0.0,Unknown,0.0,Unknown,8.16,7.12,6.52,7.78,4.62,5.56,6.51,5.66,4,1
22.0,Female,CIVIL,6.71,3.0,86.48,"Literary Society, Entrepreneurship Cell","SQL, Web Development, Java",0,Unknown,1.0,Hardware,10.9,Job,6.4,8.17,5.33,5.51,7.14,7.03,6.28,7.81,3,2
23.0,Female,MECH,6.58,1.0,70.52,Cultural Club,"SQL, C++, Web Development",0,Unknown,1.0,Software,9.38,Higher Studies,7.36,5.28,6.64,5.78,8.18,6.42,5.91,7.03,3,1
19.0,Female,EEE,7.24,2.0,65.67,Cultural Club,"Java, Data Science",0,Unknown,1.0,Hardware,13.17,Research,7.22,7.58,7.34,7.6,6.72,7.74,7.34,6.36,2,1
21.0,Male,CIVIL,7.54,0.0,74.41,"Sports Club, Literary Society, Robotics","Web Development, Data Science",1,Research,0.0,Unknown,0.0,Unknown,5.92,6.78,9.13,8.06,7.21,7.55,8.02,7.68,2,3
21.0,Female,CSE,7.49,0.0,94.13,"Coding Club, Entrepreneurship Cell, Cultural Club","SQL, C++, Web Development",0,Unknown,1.0,Software,8.58,Higher Studies,6.64,9.5,7.78,7.08,7.31,7.41,7.44,6.76,3,3
23.0,Male,EEE,6.87,0.0,70.09,Robotics,"SQL, Web Development, Java, Python",0,Unknown,1.0,Software,5.66,Job,8.18,6.79,5.03,6.89,7.65,5.99,8.33,6.08,4,1
23.0,Female,CIVIL,7.24,0.0,72.32,"Cultural Club, Sports Club, Literary Society","Data Science, Web Development",1,Higher Studies,1.0,Core Engineering,14.98,Research,7.14,7.45,6.87,8.09,4.9,9.94,6.13,7.4,2,3
23.0,Male,ECE,7.2,2.0,84.17,"Coding Club, Entrepreneurship Cell","C++, Data Science, SQL",1,Higher Studies,0.0,Unknown,0.0,Unknown,6.8,6.39,7.14,7.01,8.35,6.89,8.37,6.68,3,2
20.0,Female,ECE,7.02,0.0,89.66,"Sports Club, Coding Club","Python, SQL, Data Science, C++, Java",1,Core Engineering,1.0,Research,14.79,Job,6.86,7.65,8.4,7.33,6.03,6.1,7.73,6.04,5,2
22.0,Male,EEE,6.86,0.0,98.63,"Entrepreneurship Cell, Literary Society, Sports Club","Machine Learning, Java, C++, Python, Data Science",1,Higher Studies,1.0,Hardware,3.14,Research,7.13,6.15,5.93,6.02,8.21,7.4,6.21,7.87,5,3
19.0,Female,ECE,6.87,0.0,88.04,Cultural Club,"Data Science, Python, C++, Java",1,Higher Studies,1.0,Consulting,4.24,Research,7.98,6.85,6.17,6.68,7.41,6.44,6.18,7.24,4,1
21.0,Female,IT,7.08,1.0,82.59,"Entrepreneurship Cell, Literary Society","C++, Web Development, Python",0,Unknown,1.0,Core Engineering,8.77,Research,8.0,6.7,6.8,7.44,7.35,7.46,5.37,7.56,3,2
19.0,Male,ECE,6.94,3.0,69.49,"Sports Club, Literary Society, Cultural Club","Machine Learning, Data Science, Java, Python",0,Unknown,0.0,Unknown,0.0,Unknown,6.54,6.97,7.27,6.4,8.07,6.79,6.21,7.23,4,3
19.0,Female,CSE,7.16,0.0,86.89,Cultural Club,"Data Science, Python",1,Research,1.0,Research,6.34,Higher Studies,6.55,6.9,8.79,7.44,6.66,6.32,6.41,8.24,2,1
23.0,Female,CIVIL,6.7,2.0,80.13,"Coding Club, Sports Club","C++, Python, Web Development, SQL",0,Unknown,1.0,Consulting,18.75,Higher Studies,7.35,8.05,6.36,5.32,6.7,7.76,6.58,5.5,4,2
18.0,Female,EEE,7.1,1.0,63.66,"Entrepreneurship Cell, Coding Club","C++, SQL, Web Development",0,Unknown,0.0,Unknown,0.0,Unknown,8.98,6.95,5.44,6.6,7.5,7.53,5.91,7.93,3,2
19.0,Female,IT,6.67,1.0,96.62,"Robotics, Literary Society","Data Science, Python, C++, SQL",1,Research,0.0,Unknown,0.0,Unknown,6.67,7.74,7.13,5.01,7.94,6.61,5.73,6.56,4,2
19.0,Male,IT,7.3,0.0,87.38,Coding Club,"Machine Learning, Python, Web Development",0,Unknown,0.0,Unknown,0.0,Unknown,7.17,6.82,7.87,8.23,7.34,6.09,7.51,7.38,3,1
19.0,Female,IT,7.31,0.0,60.23,Coding Club,"Python, C++, SQL",1,Consulting,0.0,Unknown,0.0,Unknown,7.91,7.52,8.67,6.21,7.98,6.58,7.19,6.44,3,1
19.0,Female,EEE,7.01,1.0,96.52,"Entrepreneurship Cell, Coding Club, Robotics","Python, Web Development, SQL, Machine Learning",1,Higher Studies,1.0,Hardware,15.83,Startup,7.18,5.15,7.46,6.89,8.13,6.33,6.8,8.12,4,3
23.0,Female,ECE,6.8,0.0,71.76,"Coding Club, Literary Society","Java, Web Development",1,Software,1.0,Hardware,7.03,Job,7.67,8.37,6.42,7.13,5.68,6.39,7.39,5.33,2,2
21.0,Female,EEE,6.97,2.0,75.45,"Literary Society, Entrepreneurship Cell","Java, Data Science, Machine Learning, Web Development, SQL",1,Higher Studies,0.0,Unknown,0.0,Unknown,6.69,8.03,7.29,6.27,6.8,6.62,6.91,7.15,5,2
22.0,Female,MECH,7.62,1.0,71.68,"Cultural Club, Robotics, Literary Society","SQL, Machine Learning, Java",1,Research,1.0,Higher Studies,13.11,Job,6.82,8.32,7.56,8.14,9.39,6.88,7.17,6.64,3,3
21.0,Female,IT,7.22,3.0,65.27,"Entrepreneurship Cell, Robotics, Coding Club","Web Development, Java",1,Hardware,0.0,Unknown,0.0,Unknown,7.43,4.37,7.04,8.34,7.09,8.73,6.74,8.0,2,3
19.0,Male,MECH,7.38,0.0,72.69,"Cultural Club, Sports Club","SQL, Python, Web Development, Java, C++",0,Unknown,1.0,Core Engineering,7.79,Research,7.22,8.29,6.87,5.68,9.14,6.53,7.16,8.16,5,2
19.0,Male,MECH,6.63,0.0,99.38,"Sports Club, Coding Club","Python, Java, Data Science, C++",0,Unknown,1.0,Research,14.33,Research,6.31,7.69,6.68,5.84,7.2,7.4,7.56,4.38,4,2
20.0,Female,ECE,7.19,0.0,97.77,"Cultural Club, Robotics, Entrepreneurship Cell","Machine Learning, Web Development",1,Higher Studies,0.0,Unknown,0.0,Unknown,5.33,7.81,8.54,6.57,7.68,7.13,6.62,7.84,2,3
18.0,Female,ECE,7.6,0.0,82.46,"Sports Club, Robotics, Literary Society","Python, Web Development, C++, Data Science",1,Hardware,0.0,Unknown,0.0,Unknown,6.94,7.43,7.5,7.04,7.62,6.58,9.22,8.49,4,3
19.0,Female,EEE,7.09,1.0,96.64,"Entrepreneurship Cell, Literary Society, Cultural Club","Python, Data Science, Java, C++, Machine Learning",1,Consulting,1.0,Software,16.23,Higher Studies,7.67,7.81,6.36,6.97,5.56,8.7,8.07,5.6,5,3
19.0,Male,ECE,6.86,2.0,78.21,"Cultural Club, Literary Society, Sports Club","Data Science, Python, Java, C++, SQL",1,Consulting,0.0,Unknown,0.0,Unknown,5.75,9.61,6.27,6.64,6.18,7.62,6.8,6.04,5,3
23.0,Male,IT,6.49,1.0,78.09,Cultural Club,"C++, Java",1,Research,0.0,Unknown,0.0,Unknown,7.14,7.71,4.77,8.88,7.06,5.38,6.09,4.87,2,1
23.0,Female,ECE,6.88,1.0,60.96,"Literary Society, Robotics, Cultural Club","SQL, Java",0,Unknown,1.0,Higher Studies,8.7,Startup,7.32,7.13,6.67,5.99,6.21,7.1,5.89,8.77,2,3
21.0,Male,CIVIL,6.56,0.0,66.7,Cultural Club,"Java, SQL, Machine Learning, Web Development",0,Unknown,1.0,Core Engineering,5.5,Job,7.34,7.31,6.33,6.82,6.34,6.3,5.27,6.77,4,1
20.0,Male,CSE,6.5,2.0,74.98,"Robotics, Literary Society, Coding Club","SQL, Web Development",0,Unknown,0.0,Unknown,0.0,Unknown,6.76,8.87,6.98,6.07,5.71,6.89,5.01,5.7,2,3
19.0,Female,CSE,6.68,1.0,91.35,"Cultural Club, Robotics","Machine Learning, Data Science, Java, SQL, Python",1,Consulting,1.0,Core Engineering,7.86,Startup,7.07,6.36,6.0,5.9,8.25,5.48,8.22,6.13,5,2
23.0,Male,CSE,7.16,2.0,61.73,"Coding Club, Cultural Club, Robotics","SQL, Data Science, Python, Java, C++",0,Unknown,0.0,Unknown,0.0,Unknown,7.69,6.74,6.56,6.97,7.04,7.89,7.59,6.84,5,3
19.0,Male,ECE,7.27,2.0,75.31,Sports Club,"Data Science, Machine Learning, C++, Web Development",0,Unknown,1.0,Core Engineering,11.95,Job,6.6,6.79,7.44,6.21,8.04,7.75,7.02,8.32,4,1
18.0,Female,EEE,6.92,0.0,75.32,"Literary Society, Sports Club","Web Development, Data Science, SQL",1,Consulting,0.0,Unknown,0.0,Unknown,5.12,5.48,6.98,7.29,7.48,6.7,9.53,6.77,3,2
21.0,Female,CSE,6.9,3.0,76.78,"Sports Club, Literary Society, Robotics","Machine Learning, Python",1,Software,1.0,Higher Studies,7.21,Higher Studies,5.8,6.67,6.53,6.35,8.77,7.4,5.74,7.92,2,3
21.0,Female,CIVIL,6.84,1.0,64.56,Cultural Club,"Web Development, SQL",1,Hardware,1.0,Hardware,14.49,Research,7.69,6.56,6.15,6.36,7.7,6.37,6.88,7.02,2,1
22.0,Female,MECH,6.94,0.0,85.02,"Literary Society, Cultural Club","Machine Learning, Data Science, C++",0,Unknown,0.0,Unknown,0.0,Unknown,7.61,6.14,6.08,5.86,6.92,8.21,6.03,8.68,3,2
19.0,Male,CSE,6.89,1.0,60.43,"Entrepreneurship Cell, Cultural Club, Sports Club","SQL, Web Development, Java",1,Software,0.0,Unknown,0.0,Unknown,6.37,7.84,6.12,7.67,6.21,5.8,5.85,9.26,3,3
23.0,Female,IT,6.91,1.0,96.08,Coding Club,"SQL, C++",0,Unknown,0.0,Unknown,0.0,Unknown,6.71,5.83,7.34,5.03,7.62,7.02,8.9,6.8,2,1
23.0,Female,EEE,6.76,0.0,79.06,"Coding Club, Entrepreneurship Cell, Sports Club","Machine Learning, C++, Web Development, SQL, Python",0,Unknown,1.0,Core Engineering,8.41,Higher Studies,6.46,5.65,5.87,6.94,6.93,7.33,6.91,7.98,5,3
19.0,Female,MECH,6.53,2.0,97.96,Coding Club,"Web Development, SQL, Java",0,Unknown,0.0,Unknown,0.0,Unknown,7.41,7.92,5.07,6.18,6.57,6.19,5.45,7.42,3,1
20.0,Female,CSE,6.71,1.0,85.04,Entrepreneurship Cell,"Web Development, Java, C++",1,Research,0.0,Unknown,0.0,Unknown,5.59,7.5,5.96,8.28,6.74,7.13,7.41,5.07,3,1
18.0,Female,IT,7.43,2.0,83.41,"Cultural Club, Sports Club","Machine Learning, Java, Web Development, SQL",0,Unknown,1.0,Research,15.34,Startup,6.89,8.53,6.38,8.44,7.26,8.23,7.22,6.52,4,2
22.0,Female,EEE,6.54,1.0,86.95,"Entrepreneurship Cell, Literary Society","Web Development, Data Science",0,Unknown,1.0,Core Engineering,15.4,Job,7.18,5.66,6.04,5.82,6.46,6.82,5.83,8.47,2,2
22.0,Female,CIVIL,7.45,1.0,95.82,"Cultural Club, Entrepreneurship Cell, Robotics","SQL, Java",0,Unknown,1.0,Consulting,5.76,Higher Studies,7.81,8.13,6.97,5.58,6.88,8.46,8.54,7.21,2,3
18.0,Female,IT,6.98,0.0,85.61,"Sports Club, Cultural Club, Coding Club","Python, C++, Java, SQL, Web Development",0,Unknown,1.0,Core Engineering,7.61,Job,5.37,8.58,5.56,5.78,5.98,9.08,7.49,7.97,5,3
22.0,Male,CIVIL,7.66,1.0,64.73,Coding Club,"Machine Learning, SQL",0,Unknown,1.0,Core Engineering,15.93,Startup,6.46,8.24,6.41,7.08,7.83,7.45,8.35,9.49,2,1
18.0,Male,ECE,7.34,0.0,83.29,"Coding Club, Cultural Club","C++, SQL",0,Unknown,0.0,Unknown,0.0,Unknown,8.0,6.33,8.39,6.75,7.29,7.26,6.87,7.81,2,2
23.0,Male,EEE,6.82,1.0,87.49,Literary Society,"Web Development, SQL",0,Unknown,0.0,Unknown,0.0,Unknown,6.37,7.73,6.8,6.54,7.04,5.25,7.49,7.38,2,1
22.0,Female,ECE,7.63,2.0,78.97,Coding Club,"Web Development, Machine Learning, Python, Data Science",1,Software,0.0,Unknown,0.0,Unknown,7.54,7.85,9.57,6.38,7.02,7.08,7.7,7.88,4,1
23.0,Female,CSE,7.09,2.0,69.36,"Cultural Club, Robotics","Python, SQL, Java, Web Development, Data Science",0,Unknown,1.0,Hardware,3.85,Research,8.89,6.84,7.7,6.16,7.31,5.7,7.45,6.64,5,2
22.0,Female,IT,7.03,1.0,61.78,"Coding Club, Robotics","Python, Data Science, Web Development, SQL, C++",0,Unknown,0.0,Unknown,0.0,Unknown,5.94,7.31,7.41,7.35,8.5,6.91,6.97,5.83,5,2
18.0,Male,EEE,6.66,0.0,97.74,"Entrepreneurship Cell, Cultural Club","Web Development, Python, Data Science, Machine Learning, SQL",1,Higher Studies,1.0,Consulting,17.81,Startup,5.86,7.72,6.2,5.94,6.99,6.87,7.25,6.43,5,2
22.0,Female,EEE,6.53,0.0,75.72,"Entrepreneurship Cell, Sports Club, Coding Club","C++, Data Science, Java, Machine Learning",0,Unknown,0.0,Unknown,0.0,Unknown,7.45,5.13,5.84,6.72,6.7,5.79,7.39,7.25,4,3
22.0,Male,CIVIL,7.53,3.0,77.5,"Cultural Club, Sports Club","SQL, Data Science, Python",0,Unknown,0.0,Unknown,0.0,Unknown,5.82,7.46,8.6,7.46,6.3,7.99,9.37,7.24,3,2
20.0,Female,MECH,7.15,0.0,79.02,"Coding Club, Entrepreneurship Cell","Python, Web Development, Machine Learning, C++",0,Unknown,1.0,Core Engineering,15.87,Research,8.16,7.05,4.83,6.49,8.79,7.3,7.69,6.91,4,2
21.0,Female,ECE,6.84,2.0,95.25,Cultural Club,"Web Development, SQL, Data Science, Python",1,Core Engineering,1.0,Higher Studies,8.58,Research,8.23,6.82,5.99,6.02,6.7,6.7,7.91,6.33,4,1
20.0,Male,MECH,7.74,3.0,86.8,Cultural Club,"C++, Python, SQL, Web Development",0,Unknown,0.0,Unknown,0.0,Unknown,7.22,8.95,7.69,8.29,7.8,7.93,7.04,7.01,4,1
21.0,Female,EEE,7.5,3.0,90.54,"Coding Club, Literary Society, Entrepreneurship Cell","Web Development, Machine Learning, Python",1,Software,0.0,Unknown,0.0,Unknown,8.12,7.68,7.19,8.52,7.42,8.3,7.61,5.16,3,3
23.0,Male,MECH,7.13,0.0,86.02,Cultural Club,"Java, Python, Web Development, Data Science, Machine Learning",0,Unknown,1.0,Core Engineering,6.61,Job,5.99,6.66,6.97,6.63,6.84,7.41,8.24,8.31,5,1
21.0,Female,ECE,7.23,2.0,89.0,"Cultural Club, Sports Club","Machine Learning, Java",1,Software,0.0,Unknown,0.0,Unknown,7.83,7.25,6.54,7.86,7.9,7.06,7.44,5.97,2,2
21.0,Female,ECE,6.72,0.0,84.32,"Entrepreneurship Cell, Sports Club","Machine Learning, C++, Data Science, Web Development, SQL",1,Software,0.0,Unknown,0.0,Unknown,7.89,7.13,5.97,6.8,5.01,8.3,6.18,6.47,5,2
23.0,Female,ECE,6.88,1.0,60.96,"Literary Society, Robotics, Cultural Club","SQL, Java",0,Unknown,1.0,Higher Studies,8.7,Startup,7.32,7.13,6.67,5.99,6.21,7.1,5.89,8.77,2,3
21.0,Male,CIVIL,7.41,0.0,84.97,Coding Club,"Java, Machine Learning, SQL, Data Science",0,Unknown,1.0,Higher Studies,17.1,Higher Studies,8.67,8.76,6.86,6.65,5.49,7.0,8.95,6.87,4,1
18.0,Male,CIVIL,7.02,3.0,67.19,Cultural Club,"Web Development, Python, C++, SQL",1,Core Engineering,1.0,Consulting,4.7,Research,6.63,6.67,7.17,6.12,5.56,8.37,8.46,7.18,4,1
22.0,Male,IT,6.4,1.0,85.66,Coding Club,"SQL, Web Development, Data Science, Java, Machine Learning",0,Unknown,0.0,Unknown,0.0,Unknown,6.54,6.31,5.85,5.25,6.61,7.16,6.9,6.58,5,1
20.0,Female,EEE,6.61,0.0,71.33,"Robotics, Sports Club","Machine Learning, Python, Data Science, Java",0,Unknown,0.0,Unknown,0.0,Unknown,7.8,6.15,6.18,8.12,5.12,6.85,7.44,5.25,4,2
18.0,Female,CIVIL,6.48,0.0,90.07,"Entrepreneurship Cell, Literary Society","C++, Web Development",1,Consulting,1.0,Hardware,18.41,Research,6.83,6.14,5.76,7.17,6.82,6.56,7.08,5.48,2,2
19.0,Male,EEE,7.54,1.0,89.69,"Entrepreneurship Cell, Sports Club","SQL, Python",0,Unknown,1.0,Core Engineering,13.93,Higher Studies,6.72,6.8,6.65,9.63,9.06,7.3,7.42,6.76,2,2
23.0,Male,CIVIL,6.94,2.0,92.0,"Cultural Club, Sports Club, Coding Club","SQL, Data Science, Python, Java",1,Higher Studies,0.0,Unknown,0.0,Unknown,5.48,6.64,7.89,7.58,7.5,7.05,7.01,6.34,4,3
21.0,Female,EEE,6.61,0.0,73.57,"Sports Club, Literary Society, Coding Club","SQL, Java, Data Science",0,Unknown,0.0,Unknown,0.0,Unknown,8.43,6.42,4.74,5.82,7.22,6.02,6.91,7.34,3,3
22.0,Female,CSE,7.52,1.0,75.66,"Entrepreneurship Cell, Robotics, Coding Club","Data Science, Web Development, Machine Learning, Python",1,Consulting,0.0,Unknown,0.0,Unknown,8.71,7.82,8.77,6.6,7.25,7.81,4.67,8.51,4,3
20.0,Female,MECH,7.45,1.0,97.24,"Coding Club, Robotics, Sports Club","Python, Java",0,Unknown,1.0,Research,12.4,Job,9.1,6.54,6.72,6.56,7.24,7.59,8.09,7.76,2,3
18.0,Female,ECE,7.31,1.0,70.19,Robotics,"SQL, Python, Java, Data Science, Machine Learning",0,Unknown,1.0,Software,16.13,Startup,6.66,8.16,7.65,7.37,7.62,6.43,6.29,8.27,5,1
23.0,Male,EEE,6.7,2.0,94.74,Sports Club,"Machine Learning, Data Science",1,Consulting,0.0,Unknown,0.0,Unknown,5.37,6.5,7.35,8.39,5.77,7.79,6.94,5.48,2,1
21.0,Female,EEE,6.97,2.0,75.45,"Literary Society, Entrepreneurship Cell","Java, Data Science, Machine Learning, Web Development, SQL",1,Higher Studies,0.0,Unknown,0.0,Unknown,6.69,8.03,7.29,6.27,6.8,6.62,6.91,7.15,5,2
22.0,Female,CIVIL,7.14,0.0,61.4,"Coding Club, Literary Society","C++, Python, Machine Learning",0,Unknown,0.0,Unknown,0.0,Unknown,5.52,8.06,6.47,6.61,5.88,7.38,9.46,7.78,3,2
21.0,Female,CSE,6.77,1.0,63.96,"Entrepreneurship Cell, Literary Society","Java, SQL",1,Higher Studies,1.0,Consulting,15.89,Research,7.92,5.9,6.25,5.71,7.37,6.68,6.64,7.67,2,2
21.0,Female,ECE,7.58,1.0,94.59,"Sports Club, Coding Club, Robotics","C++, Web Development, Python, Data Science, SQL",0,Unknown,1.0,Core Engineering,18.74,Research,7.78,7.92,5.78,9.5,7.28,7.4,7.5,7.5,5,3
18.0,Female,CIVIL,7.15,0.0,70.7,"Sports Club, Cultural Club, Coding Club","Machine Learning, Python, Web Development, C++",1,Hardware,1.0,Software,11.83,Higher Studies,5.93,9.38,7.55,7.96,7.46,6.55,5.69,6.7,4,3
23.0,Male,EEE,7.04,2.0,73.59,"Entrepreneurship Cell, Robotics, Coding Club","Python, Web Development",0,Unknown,0.0,Unknown,0.0,Unknown,7.44,5.93,6.84,6.42,7.01,7.8,7.65,7.25,2,3
23.0,Female,MECH,6.93,4.0,83.07,Sports Club,"Web Development, Java, C++",1,Consulting,1.0,Higher Studies,4.14,Startup,7.35,5.44,7.1,6.74,7.68,6.7,6.67,7.73,3,1
20.0,Female,CSE,6.9,0.0,81.67,"Entrepreneurship Cell, Robotics, Sports Club","Java, Data Science, Web Development, C++",1,Research,1.0,Higher Studies,9.59,Research,8.32,6.46,6.81,7.1,5.97,7.23,5.28,8.05,4,3
21.0,Male,EEE,6.82,1.0,63.31,"Sports Club, Robotics, Entrepreneurship Cell","Java, Data Science",1,Hardware,1.0,Software,5.14,Research,7.67,8.12,5.89,5.98,7.61,7.64,5.66,6.01,2,3
22.0,Female,IT,7.35,1.0,64.94,"Cultural Club, Coding Club","Python, Machine Learning, Data Science, Java",1,Research,1.0,Core Engineering,13.65,Job,6.78,8.85,8.13,7.75,7.13,6.59,7.7,5.87,4,2
19.0,Female,ECE,7.56,0.0,75.54,"Sports Club, Literary Society","Python, Data Science, Machine Learning",1,Software,0.0,Unknown,0.0,Unknown,6.17,8.85,8.93,7.26,6.99,8.03,8.09,6.19,3,2
22.0,Male,CSE,7.1,2.0,66.5,"Cultural Club, Sports Club","C++, Data Science",1,Higher Studies,1.0,Research,14.46,Higher Studies,8.69,6.36,8.38,6.83,5.43,5.86,7.18,8.03,2,2
19.0,Male,EEE,7.13,1.0,86.73,Sports Club,"Java, Machine Learning, C++, Data Science, Web Development",1,Research,0.0,Unknown,0.0,Unknown,7.79,6.7,6.74,6.75,8.84,7.9,6.56,5.76,5,1
19.0,Female,CIVIL,7.16,2.0,85.45,"Robotics, Literary Society","Java, Web Development, Python, C++, Machine Learning",1,Core Engineering,0.0,Unknown,0.0,Unknown,7.03,5.51,7.49,7.72,9.3,8.08,5.1,7.08,5,2
21.0,Female,CSE,6.74,1.0,71.65,"Cultural Club, Robotics, Literary Society","Web Development, Python, Machine Learning",1,Research,0.0,Unknown,0.0,Unknown,5.89,7.32,7.28,8.01,6.42,6.47,6.43,6.08,3,3
21.0,Female,EEE,7.5,3.0,90.54,"Coding Club, Literary Society, Entrepreneurship Cell","Web Development, Machine Learning, Python",1,Software,0.0,Unknown,0.0,Unknown,8.12,7.68,7.19,8.52,7.42,8.3,7.61,5.16,3,3
20.0,Female,MECH,7.08,0.0,73.64,"Coding Club, Entrepreneurship Cell, Literary Society","Data Science, Python, Machine Learning, Web Development",1,Hardware,1.0,Core Engineering,9.94,Startup,6.57,7.23,6.07,8.29,6.37,8.13,6.77,7.2,4,3
20.0,Female,EEE,6.92,0.0,80.37,"Literary Society, Coding Club, Robotics","Web Development, Python, Data Science, Java, SQL",0,Unknown,1.0,Software,5.37,Startup,6.97,6.23,6.28,6.19,6.01,7.93,7.8,7.94,5,3
21.0,Male,CSE,6.64,1.0,79.1,Cultural Club,"Machine Learning, Java",0,Unknown,1.0,Higher Studies,11.41,Startup,6.54,7.19,5.89,6.0,6.37,6.81,7.14,7.15,2,1
18.0,Female,EEE,7.59,0.0,61.91,"Coding Club, Robotics, Sports Club","C++, Python, Data Science, Web Development, Java",0,Unknown,1.0,Core Engineering,7.19,Research,7.94,7.2,8.67,6.82,7.62,7.8,6.9,7.78,5,3
23.0,Female,CSE,7.04,1.0,98.79,Literary Society,"Web Development, Python, Java, Data Science, Machine Learning",0,Unknown,1.0,Software,15.37,Job,5.31,7.19,6.63,6.3,9.48,8.25,5.85,7.35,5,1
